langcode	language	institution	N	totalinst	perc
eng	English	CUL	1271522	2823294	0.45
ita	Italian	CUL	87650	2823294	0.03
ger	German	CUL	251004	2823294	0.09
rus	Russian	CUL	133083	2823294	0.05
fre	French	CUL	157236	2823294	0.06
pol	Polish	CUL	34350	2823294	0.01
hun	Hungarian	CUL	15958	2823294	0.01
spa	Spanish	CUL	156829	2823294	0.06
por	Portuguese	CUL	31785	2823294	0.01
dut	Dutch	CUL	23846	2823294	0.01
per	Persian	CUL	10966	2823294	0
heb	Hebrew	CUL	25603	2823294	0.01
dan	Danish	CUL	2584	2823294	0
grc	Greek, Ancient (to 1453)	CUL	864	2823294	0
san	Sanskrit	CUL	6451	2823294	0
cat	Catalan	CUL	1743	2823294	0
lat	Latin	CUL	10545	2823294	0
tuk	Turkmen	CUL	1338	2823294	0
tur	Turkish	CUL	22450	2823294	0.01
arm	Armenian	CUL	4883	2823294	0
aze	Azerbaijani	CUL	3279	2823294	0
und	Undetermined	CUL	4369	2823294	0
ara	Arabic	CUL	70191	2823294	0.02
hau	Hausa	CUL	105	2823294	0
gre	Greek, Modern (1453-)	CUL	7578	2823294	0
roa	Romance (Other)	CUL	72	2823294	0
geo	Georgian	CUL	2798	2823294	0
hin	Hindi	CUL	27599	2823294	0.01
cze	Czech	CUL	11117	2823294	0
raj	Rajasthani	CUL	818	2823294	0
ota	Turkish, Ottoman	CUL	506	2823294	0
bul	Bulgarian	CUL	5922	2823294	0
ben	Bengali	CUL	15795	2823294	0.01
jpn	Japanese	CUL	100334	2823294	0.04
nor	Norwegian	CUL	1165	2823294	0
swe	Swedish	CUL	5032	2823294	0
slv	Slovenian	CUL	1800	2823294	0
yid	Yiddish	CUL	2628	2823294	0
bra	Braj	CUL	263	2823294	0
rum	Romanian	CUL	7239	2823294	0
gmh	German, Middle High (ca. 1050-1500)	CUL	115	2823294	0
fin	Finnish	CUL	3215	2823294	0
oss	Ossetic	CUL	384	2823294	0
tut	Altaic (Other)	CUL	1699	2823294	0
lit	Lithuanian	CUL	603	2823294	0
uzb	Uzbek	CUL	3856	2823294	0
gem	Germanic (Other)	CUL	11	2823294	0
ind	Indonesian	CUL	6985	2823294	0
gaa	Gã	CUL	3	2823294	0
afr	Afrikaans	CUL	1487	2823294	0
lav	Latvian	CUL	1172	2823294	0
zxx	No linguistic content	CUL	19943	2823294	0.01
hrv	Croatian	CUL	1025	2823294	0
urd	Urdu	CUL	21075	2823294	0.01
snd	Sindhi	CUL	3129	2823294	0
mar	Marathi	CUL	309	2823294	0
bak	Bashkir	CUL	714	2823294	0
cau	Caucasian (Other)	CUL	911	2823294	0
fiu	Finno-Ugrian (Other)	CUL	800	2823294	0
kaz	Kazakh	CUL	3494	2823294	0
ukr	Ukrainian	CUL	13187	2823294	0
mul	Multiple languages	CUL	2864	2823294	0
mac	Macedonian	CUL	1344	2823294	0
fro	French, Old (ca. 842-1300)	CUL	108	2823294	0
kur	Kurdish	CUL	1492	2823294	0
tib	Tibetan	CUL	4768	2823294	0
tsn	Tswana	CUL	58	2823294	0
chi	Chinese	CUL	117396	2823294	0.04
gla	Scottish Gaelic	CUL	35	2823294	0
asm	Assamese	CUL	644	2823294	0
chu	Church Slavic	CUL	163	2823294	0
pan	Panjabi	CUL	4646	2823294	0
bur	Burmese	CUL	69	2823294	0
inc	Indic (Other)	CUL	303	2823294	0
mal	Malayalam	CUL	133	2823294	0
mlt	Maltese	CUL	536	2823294	0
nep	Nepali	CUL	5433	2823294	0
pus	Pushto	CUL	1508	2823294	0
kor	Korean	CUL	45943	2823294	0.02
tat	Tatar	CUL	276	2823294	0
guj	Gujarati	CUL	1013	2823294	0
mai	Maithili	CUL	331	2823294	0
new	Newari	CUL	754	2823294	0
chv	Chuvash	CUL	443	2823294	0
may	Malay	CUL	1375	2823294	0
pra	Prakrit languages	CUL	269	2823294	0
ori	Oriya	CUL	943	2823294	0
sin	Sinhalese	CUL	1303	2823294	0
bnt	Bantu (Other)	CUL	34	2823294	0
pli	Pali	CUL	192	2823294	0
glg	Galician	CUL	93	2823294	0
doi	Dogri	CUL	118	2823294	0
tgk	Tajik	CUL	686	2823294	0
sit	Sino-Tibetan (Other)	CUL	88	2823294	0
bal	Baluchi	CUL	369	2823294	0
srp	Serbian	CUL	2873	2823294	0
tel	Telugu	CUL	330	2823294	0
jav	Javanese	CUL	94	2823294	0
mon	Mongolian	CUL	565	2823294	0
dra	Dravidian (Other)	CUL	101	2823294	0
oci	Occitan (post-1500)	CUL	31	2823294	0
amh	Amharic	CUL	23	2823294	0
ful	Fula	CUL	26	2823294	0
alb	Albanian	CUL	1097	2823294	0
fan	Fang	CUL	3	2823294	0
nic	Niger-Kordofanian (Other)	CUL	122	2823294	0
kas	Kashmiri	CUL	105	2823294	0
ban	Balinese	CUL	22	2823294	0
tam	Tamil	CUL	5147	2823294	0
gle	Irish	CUL	80	2823294	0
map	Austronesian (Other)	CUL	72	2823294	0
wel	Welsh	CUL	127	2823294	0
yor	Yoruba	CUL	39	2823294	0
ace	Achinese	CUL	4	2823294	0
tah	Tahitian	CUL	4	2823294	0
syr	Syriac, Modern	CUL	115	2823294	0
non	Old Norse	CUL	6	2823294	0
slo	Slovak	CUL	2314	2823294	0
ave	Avestan	CUL	4	2823294	0
kan	Kannada	CUL	323	2823294	0
bos	Bosnian	CUL	833	2823294	0
pam	Pampanga	CUL	3	2823294	0
som	Somali	CUL	65	2823294	0
lug	Ganda	CUL	55	2823294	0
cus	Cushitic (Other)	CUL	2	2823294	0
kir	Kyrgyz	CUL	1901	2823294	0
