institution	broad_subject_letters	N_in_broad	totalinst	subject_letters	N_in_subject	percent_in_category	percent_in_institution	subject
CUL	H	324644	2268893	HM	10400	0.03	0	Sociology (General)
CUL	D	289497	2268893	DG	10023	0.03	0	Italy, Malta
CUL	H	324644	2268893	HB	20013	0.06	0.01	Economic theory. Demography
CUL	B	210694	2268893	B	37907	0.18	0.02	Philosophy (General)
CUL	P	579911	2268893	PH	4225	0.01	0	Uralic languages. Basque language
CUL	P	579911	2268893	PQ	95129	0.16	0.04	French, Italian, Spanish, and Portuguese literature
CUL	H	324644	2268893	HC	51462	0.16	0.02	Economic history and conditions
CUL	H	324644	2268893	HD	84060	0.26	0.04	Industries. Land use. Labor
CUL	N	154342	2268893	ND	26498	0.17	0.01	Painting
CUL	P	579911	2268893	PN	67553	0.12	0.03	Literature (General)
CUL	D	289497	2268893	DB	5435	0.02	0	Austria, Liechtenstein, Hungary, Czechoslovakia
CUL	P	579911	2268893	PK	63509	0.11	0.03	Indo-Iranian languages and literatures
CUL	P	579911	2268893	PB	1005	0	0	Modern languages. Celtic languages and literature
CUL	P	579911	2268893	PA	13878	0.02	0.01	Greek language and literature. Latin language and literature
CUL	N	154342	2268893	NC	5201	0.03	0	Drawing. Design. Illustration
CUL	D	289497	2268893	DT	24410	0.08	0.01	Africa
CUL	D	289497	2268893	DS	129723	0.45	0.06	Asia
CUL	S	13813	2268893	SB	4912	0.36	0	Horticulture. Plant propagation. Plant breeding
CUL	G	51954	2268893	G	15372	0.3	0.01	Geography (General). Atlases. Maps
CUL	P	579911	2268893	PT	40121	0.07	0.02	German, Dutch, Flemish since 1830, Afrikaans, Scandinavian, Old Norse: Old Icelandic and Old Norwegian, Modern Icelandic, Faroese, Danish, Norwegian, and Swedish Literature
CUL	P	579911	2268893	PS	46995	0.08	0.02	American literature
CUL	T	78343	2268893	TN	6029	0.08	0	Mining engineering. Metallurgy
CUL	H	324644	2268893	HA	5651	0.02	0	Statistics
CUL	P	579911	2268893	PJ	38699	0.07	0.02	Oriental languages and literatures
CUL	C	17443	2268893	CD	2374	0.14	0	Diplomatics. Archives. Seals
CUL	P	579911	2268893	PR	51001	0.09	0.02	English literature
CUL	P	579911	2268893	PG	44973	0.08	0.02	Slavic languages and literatures. Baltic languages. Albanian language
