institution	year
CUL	2007
CUL	1991
CUL	1985
CUL	2007
CUL	1982
CUL	2006
CUL	1964
CUL	1971
CUL	2004
CUL	1988
CUL	1998
CUL	1989
CUL	1984
CUL	1918
CUL	2007
CUL	1985
CUL	1963
CUL	1849
CUL	2009
CUL	1953
CUL	1982
CUL	1995
CUL	1967
CUL	1994
CUL	2006
CUL	1983
CUL	2007
CUL	1970
CUL	2010
CUL	1990
CUL	1944
CUL	1909
CUL	2007
CUL	1998
CUL	2001
CUL	1972
CUL	1901
CUL	1919
CUL	1997
CUL	2012
CUL	1985
CUL	1981
CUL	1968
CUL	1995
CUL	1983
CUL	2003
CUL	1959
CUL	1982
CUL	1939
CUL	1997
CUL	1961
CUL	2009
CUL	1992
CUL	1932
CUL	2002
CUL	1999
CUL	1980
CUL	1963
CUL	1990
CUL	1985
CUL	1978
CUL	1996
CUL	1967
CUL	1952
CUL	1966
CUL	1996
CUL	1943
CUL	1990
CUL	1982
CUL	1935
CUL	2001
CUL	1989
CUL	1929
CUL	1967
CUL	2001
CUL	1980
CUL	1935
CUL	1981
CUL	2005
CUL	1973
CUL	1958
CUL	1986
CUL	1993
CUL	1975
CUL	1986
CUL	1996
CUL	1986
CUL	1943
CUL	1998
CUL	1982
CUL	2000
CUL	2010
CUL	1946
CUL	1999
CUL	1962
CUL	1982
CUL	2009
CUL	2011
CUL	1999
CUL	1901
CUL	1970
CUL	1986
CUL	2003
CUL	2003
CUL	1977
CUL	1964
CUL	1976
CUL	2008
CUL	1955
CUL	2001
CUL	1975
CUL	1975
CUL	1971
CUL	1990
CUL	1947
CUL	1925
CUL	1962
CUL	1984
CUL	1959
CUL	1996
CUL	1895
CUL	1940
CUL	1971
CUL	1965
CUL	1977
CUL	1965
CUL	1982
CUL	2005
CUL	1999
CUL	1941
CUL	1995
CUL	2008
CUL	2001
CUL	1997
CUL	1988
CUL	1960
CUL	1896
CUL	1970
CUL	1910
CUL	1952
CUL	1958
CUL	1965
CUL	1989
CUL	1996
CUL	2012
CUL	1993
CUL	2008
CUL	1995
CUL	1952
CUL	2009
CUL	1991
CUL	1965
CUL	1969
CUL	2004
CUL	1959
CUL	1930
CUL	1959
CUL	1967
CUL	1996
CUL	1935
CUL	1960
CUL	1983
CUL	1977
CUL	1983
CUL	1976
CUL	1969
CUL	1949
CUL	1994
CUL	1985
CUL	1905
CUL	2005
CUL	1979
CUL	1994
CUL	1995
CUL	2000
CUL	1886
CUL	2007
CUL	2008
CUL	2012
CUL	1942
CUL	1989
CUL	1992
CUL	1972
CUL	1930
CUL	1980
CUL	2009
CUL	1976
CUL	1983
CUL	1973
CUL	1962
CUL	1946
CUL	1969
CUL	1957
CUL	1974
CUL	2006
CUL	1993
CUL	1995
CUL	1968
CUL	1965
CUL	1982
CUL	2008
CUL	1989
CUL	1905
CUL	1926
CUL	1953
CUL	2001
CUL	2009
CUL	1992
CUL	1990
CUL	1892
CUL	1988
CUL	1971
CUL	1946
CUL	1999
CUL	1980
CUL	1969
CUL	1980
CUL	1980
CUL	2005
CUL	1955
CUL	1959
CUL	1895
CUL	1983
CUL	1970
CUL	1991
CUL	2003
CUL	1954
CUL	1928
CUL	1980
CUL	1985
CUL	2011
CUL	2001
CUL	1978
CUL	2004
CUL	1992
CUL	1981
CUL	1973
CUL	1997
CUL	1971
CUL	1976
CUL	1986
CUL	2003
CUL	1924
CUL	2001
CUL	2007
CUL	1971
CUL	1963
CUL	1970
CUL	1991
CUL	1986
CUL	2006
CUL	2009
CUL	1963
CUL	1942
CUL	2002
CUL	1975
CUL	1896
CUL	1985
CUL	2007
CUL	2007
CUL	1953
CUL	1945
CUL	1988
CUL	1993
CUL	1911
CUL	1946
CUL	1958
