"place"	"thekey"
"bulk"	"B1"
"bulk"	"B2"
"bulk"	"B3"
"HUL"	"AC"
"HUL"	"AD"
"HUL"	"AR"
"HUL"	"AV"
"HUL"	"BC"
"HUL"	"BL"
"HUL"	"BS"
"HUL"	"BT"
"HUL"	"BU"
"HUL"	"BZ"
"HUL"	"CA"
"HUL"	"CD"
"HUL"	"CF"
"HUL"	"CI"
"HUL"	"CJ"
"HUL"	"CL"
"HUL"	"CM"
"HUL"	"CR"
"HUL"	"CS"
"HUL"	"CU"
"HUL"	"CV"
"HUL"	"CX"
"HUL"	"EA"
"HUL"	"EN"
"HUL"	"EV"
"HUL"	"GC"
"HUL"	"GE"
"HUL"	"GS"
"HUL"	"HR"
"HUL"	"HS"
"HUL"	"HX"
"HUL"	"LE"
"HUL"	"ML"
"HUL"	"MP"
"HUL"	"MR"
"HUL"	"MZ"
"HUL"	"OH"
"HUL"	"RC"
"HUL"	"RH"
"HUL"	"RS"
"HUL"	"SW"
"HUL"	"UA"
"HUL"	"UT"
"EDD"	"ED"
"EDD"	"EDD"
"google"	"G1"
"google"	"G2"
"google"	"GO"
"HUL"	"HV"
"ILL"	"BD"
"ILL"	"DC"
"ILL"	"DP"
"ILL"	"IC"
"ILL"	"IL"
"ILL"	"IN"
"ILL"	"IP"
"NYPL"	"JN"
"NYPL"	"JO"
"NYPL"	"JS"
"NYPL"	"NA"
"NYPL"	"NB"
"NYPL"	"NC"
"NYPL"	"ND"
"NYPL"	"NE"
"NYPL"	"NF"
"NYPL"	"NG"
"NYPL"	"NH"
"NYPL"	"NI"
"NYPL"	"NJ"
"NYPL"	"NK"
"NYPL"	"NL"
"NYPL"	"NM"
"NYPL"	"NN"
"NYPL"	"NO"
"NYPL"	"NP"
"NYPL"	"NQ"
"NYPL"	"NR"
"NYPL"	"NS"
"NYPL"	"NT"
"NYPL"	"NU"
"NYPL"	"NV"
"NYPL"	"NW"
"NYPL"	"NX"
"NYPL"	"NY"
"NYPL"	"NZ"
"NYPL"	"OA"
"NYPL"	"OB"
"NYPL"	"OC"
"NYPL"	"OM"
"NYPL"	"ON"
"NYPL"	"OP"
"NYPL"	"OS"
"NYPL"	"OW"
"NYPL"	"OZ"
"NYPL"	"SA"
"NYPL"	"SM"
"NYPL"	"SP"
"NYPL"	"SR"
"NYPL"	"XX"
"PUL"	"GP"
"PUL"	"JQ"
"PUL"	"PA"
"PUL"	"PB"
"PUL"	"PE"
"PUL"	"PF"
"PUL"	"PG"
"PUL"	"PH"
"PUL"	"PJ"
"PUL"	"PK"
"PUL"	"PL"
"PUL"	"PM"
"PUL"	"PN"
"PUL"	"PQ"
"PUL"	"PS"
"PUL"	"PT"
"PUL"	"PW"
"PUL"	"PZ"
"PUL"	"QA"
"PUL"	"QB"
"PUL"	"QC"
"PUL"	"QD"
"PUL"	"QK"
"PUL"	"QL"
"PUL"	"QP"
"PUL"	"QT"
"PUL"	"QV"
"PUL"	"QX"
"recapreading"	"RR"
